cik_str,sic,sicDescription
872589,2834,Pharmaceutical Preparations
1871006,,
872003,,
872021,,
1872397,,
872029,,
1872399,,
872032,,
1872391,,
872043,,
1872395,,
872064,,
1872400,,
872078,,
1872394,,
872082,,
872600,0000,
1871015,,
872081,,
872066,,
1872393,,
872079,,
1872396,,
872024,,
1872413,,
872085,0000,
872538,,
1871086,,
872083,,
872087,,
1872411,7373,Services-Computer Integrated Systems Design
872084,,
1872414,,
872097,,
1872482,,
872117,,
872494,0000,
1871105,,
872113,,
872080,,
1872481,,
872098,,
1872493,,
872121,1311,Crude Petroleum & Natural Gas
1872496,,
872086,,
1872489,,
872162,,
872604,,
1871111,,
872188,,
872116,,
1872494,,
872163,,
1872492,,
872177,0000,
1872508,,
872108,6189,Asset-Backed Securities
1872509,,
872196,0000,
1872498,,
872168,,
1872590,,
872210,6035,"Savings Institution, Federally Chartered"
1872599,,
872199,,
1872605,,
872198,,
872610,2835,In Vitro & In Vivo Diagnostic Substances
1871181,3841,Surgical & Medical Instruments & Apparatus
872203,6021,National Commercial Banks
872191,,
1872619,,
872255,0000,
1872680,,
872233,,
872439,8051,Services-Skilled Nursing Care Facilities
872475,,
872653,6324,Hospital & Medical Service Plans
1872684,,
872197,,
872259,,
1872696,,
872260,,
872612,,
1871210,,
872120,,
1872692,,
872202,8744,Services-Facilities Support Management Services
872246,0000,
1872690,,
872243,0000,
1872706,,
872293,,
872614,,
1871213,,
872300,8051,Services-Skilled Nursing Care Facilities
872275,,
1872716,,
872289,8051,Services-Skilled Nursing Care Facilities
1872691,,
872303,8051,Services-Skilled Nursing Care Facilities
1872719,,
872304,8051,Services-Skilled Nursing Care Facilities
1872796,,
872301,8051,Services-Skilled Nursing Care Facilities
1872882,,
872302,8051,Services-Skilled Nursing Care Facilities
1872889,,
872305,8051,Services-Skilled Nursing Care Facilities
1970988,,
872299,8051,Services-Skilled Nursing Care Facilities
1970999,,
872308,8051,Services-Skilled Nursing Care Facilities
1971119,,
872248,1311,Crude Petroleum & Natural Gas
1971200,,
872310,8051,Services-Skilled Nursing Care Facilities
872588,7812,Services-Motion Picture & Video Tape Production
1871211,,
872306,8051,Services-Skilled Nursing Care Facilities
872307,8051,Services-Skilled Nursing Care Facilities
872314,8051,Services-Skilled Nursing Care Facilities
872315,8051,Services-Skilled Nursing Care Facilities
1971219,,
872316,8051,Services-Skilled Nursing Care Facilities
872616,,
1871208,,
872320,8051,Services-Skilled Nursing Care Facilities
872313,8051,Services-Skilled Nursing Care Facilities
872611,,
1871295,,
872322,0000,
872312,8051,Services-Skilled Nursing Care Facilities
1971218,,
872311,8051,Services-Skilled Nursing Care Facilities
1971319,,
872321,8051,Services-Skilled Nursing Care Facilities
1971590,,
872317,8051,Services-Skilled Nursing Care Facilities
1971780,,
872319,8051,Services-Skilled Nursing Care Facilities
1971788,,
872333,8051,Services-Skilled Nursing Care Facilities
1971819,,
872332,8051,Services-Skilled Nursing Care Facilities
1971989,,
872334,8051,Services-Skilled Nursing Care Facilities
1972009,,
872330,8051,Services-Skilled Nursing Care Facilities
872799,,
1972010,,
872335,8051,Services-Skilled Nursing Care Facilities
1972008,,
872336,8051,Services-Skilled Nursing Care Facilities
1972110,,
872342,8051,Services-Skilled Nursing Care Facilities
1972111,,
872343,8051,Services-Skilled Nursing Care Facilities
1972100,,
872359,,
1972119,,
872339,8051,Services-Skilled Nursing Care Facilities
1972180,,
872354,8051,Services-Skilled Nursing Care Facilities
1972201,,
872324,,
1972211,,
872348,8051,Services-Skilled Nursing Care Facilities
872633,,
1871311,,
872345,8051,Services-Skilled Nursing Care Facilities
872356,8051,Services-Skilled Nursing Care Facilities
1972300,,
872340,8051,Services-Skilled Nursing Care Facilities
1972298,,
872360,,
872730,,
1871315,,
872323,,
872371,8051,Services-Skilled Nursing Care Facilities
1972380,,
872361,8051,Services-Skilled Nursing Care Facilities
1972389,,
872364,8051,Services-Skilled Nursing Care Facilities
872467,6798,Real Estate Investment Trusts
872574,,
872732,,
872372,8051,Services-Skilled Nursing Care Facilities
872390,8051,Services-Skilled Nursing Care Facilities
872368,8051,Services-Skilled Nursing Care Facilities
872656,,
1871497,,
872391,8051,Services-Skilled Nursing Care Facilities
872392,,
872466,,
872537,,
872724,,
872373,8051,Services-Skilled Nursing Care Facilities
872362,8051,Services-Skilled Nursing Care Facilities
872396,8051,Services-Skilled Nursing Care Facilities
872478,,
872520,,
872722,0000,
872394,8051,Services-Skilled Nursing Care Facilities
872397,8051,Services-Skilled Nursing Care Facilities
872401,6021,National Commercial Banks
1972388,,
872403,8051,Services-Skilled Nursing Care Facilities
1972398,,
872393,8051,Services-Skilled Nursing Care Facilities
1972408,,
872411,8051,Services-Skilled Nursing Care Facilities
1972489,,
872416,8051,Services-Skilled Nursing Care Facilities
1972500,,
872414,8051,Services-Skilled Nursing Care Facilities
1972501,,
872413,8051,Services-Skilled Nursing Care Facilities
872448,3674,Semiconductors & Related Devices
872495,,
872699,1040,Gold and Silver Ores
872412,8051,Services-Skilled Nursing Care Facilities
1972499,,
872388,8051,Services-Skilled Nursing Care Facilities
872425,,
1972591,,
872409,8051,Services-Skilled Nursing Care Facilities
872402,8051,Services-Skilled Nursing Care Facilities
1972598,,
872422,8051,Services-Skilled Nursing Care Facilities
1972611,,
872426,0000,
1972688,,
872428,0000,
1972699,,
872431,8051,Services-Skilled Nursing Care Facilities
872430,8051,Services-Skilled Nursing Care Facilities
872418,8051,Services-Skilled Nursing Care Facilities
872454,0000,
872480,,
872651,,
1871495,,
874629,0000,
874444,5331,Retail-Variety Stores
874754,,
872843,,
872836,6153,Short-Term Business Credit Institutions
874635,0000,
874786,3949,"Sporting & Athletic Goods, NEC"
872855,5961,Retail-Catalog & Mail-Order Houses
874545,,
874788,3825,Instruments For Meas & Testing of  Electricity & Elec Signals
872825,,
874808,2721,Periodicals: Publishing or  Publishing & Printing
872864,0000,
874832,,
872865,3576,Computer Communications Equipment
874816,,
872866,6036,"Savings Institutions, Not Federally Chartered"
874481,6021,National Commercial Banks
874627,0000,
872867,2020,Dairy Products
872835,6035,"Savings Institution, Federally Chartered"
874495,6021,National Commercial Banks
874756,,
872918,3674,Semiconductors & Related Devices
872873,,
874865,2834,Pharmaceutical Preparations
872901,3577,"Computer Peripheral Equipment, NEC"
1872998,,
872821,6022,State Commercial Banks
1873006,,
872912,3841,Surgical & Medical Instruments & Apparatus
1873002,,
872953,,
1873005,,
872947,2836,"Biological Products, (No Diagnostic Substances)"
1873004,,
873006,,
1873086,,
872974,,
874494,6153,Short-Term Business Credit Institutions
874771,,
873064,2834,Pharmaceutical Preparations
873053,,
874662,6513,Operators of  Apartment Buildings
1873185,,
873067,,
874447,0000,
874710,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies"
873077,,
873068,0000,
1873181,,
873076,,
1873196,,
873084,6141,Personal Credit Institutions
874493,0000,
874735,6035,"Savings Institution, Federally Chartered"
873086,5812,Retail-Eating  Places
873082,2761,Manifold Business Forms
1873211,,
873044,3577,"Computer Peripheral Equipment, NEC"
1873212,,
873101,,
1873207,,
873085,5812,Retail-Eating  Places
1873300,,
873105,2741,Miscellaneous Publishing
1873301,,
873166,2834,Pharmaceutical Preparations
1873310,,
873292,,
874397,0000,
874475,0000,
874689,3674,Semiconductors & Related Devices
873116,,
873209,3841,Surgical & Medical Instruments & Apparatus
873291,0000,
1873313,,
873185,1040,Gold and Silver Ores
874688,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies"
1873317,,
873287,7370,"Services-Computer Programming, Data Processing, Etc."
1873318,,
873303,2834,Pharmaceutical Preparations
874500,6798,Real Estate Investment Trusts
874758,6770,Blank Checks
873269,2834,Pharmaceutical Preparations
873331,,
874478,,
874663,2834,Pharmaceutical Preparations
873360,,
873361,,
1873383,,
873364,2834,Pharmaceutical Preparations
874690,5731,"Retail-Radio, Tv & Consumer Electronics Stores"
1873392,,
873312,,
1973708,,
873374,0000,
873362,,
1873402,,
873379,,
874499,1311,Crude Petroleum & Natural Gas
874755,,
873375,6035,"Savings Institution, Federally Chartered"
873377,0000,
1873404,,
873373,0000,
1873414,,
873198,5045,Wholesale-Computers & Peripheral Equipment & Software
1873413,,
873393,8082,Services-Home Health Care Services
874502,0000,
874733,7373,Services-Computer Integrated Systems Design
873378,0000,
1873490,,
873371,3577,"Computer Peripheral Equipment, NEC"
873380,0000,
1873507,,
873390,,
1873514,,
873410,,
1873511,,
873398,6021,National Commercial Banks
874419,,
874443,2834,Pharmaceutical Preparations
874695,,
873440,0000,
873397,6035,"Savings Institution, Federally Chartered"
873399,8082,Services-Home Health Care Services
1873580,,
873381,,
1873582,,
873457,2836,"Biological Products, (No Diagnostic Substances)"
1873601,,
873465,8888,Foreign Governments
1873607,,
873470,,
1873680,,
873463,8888,Foreign Governments
1873681,,
873394,6798,Real Estate Investment Trusts
874510,0000,
874759,5200,"Retail-Building Materials, Hardware, Garden Supply"
873493,,
873446,6189,Asset-Backed Securities
1973800,,
873458,6159,Miscellaneous Business Credit Institution
873459,6035,"Savings Institution, Federally Chartered"
1873683,,
873535,0000,
1873692,,
873500,,
1873696,,
873555,0000,
874501,6351,Surety Insurance
874734,3841,Surgical & Medical Instruments & Apparatus
873540,2080,Beverages
873563,,
1873701,,
873502,,
1873700,,
873484,,
1873688,,
873494,,
1873719,,
873579,,
1873797,,
873565,3826,Laboratory Analytical Instruments
874482,6021,National Commercial Banks
874775,0000,
873587,,
873567,3576,Computer Communications Equipment
1873795,,
873571,4950,Sanitary Services
874517,,
874737,3672,Printed Circuit Boards
873482,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies"
873594,7372,Services-Prepackaged Software
1873808,,
873538,7372,Services-Prepackaged Software
1873880,,
873600,,
1873882,,
873603,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies"
874396,3420,"Cutlery, Handtools & General Hardware"
874445,7370,"Services-Computer Programming, Data Processing, Etc."
874666,3652,Phonograph Records & Prerecorded Audio Tapes & Disks
873612,,
873611,,
873629,0000,
1873883,,
873608,0000,
1873895,,
873591,2836,"Biological Products, (No Diagnostic Substances)"
1873894,,
873616,,
1873893,,
873630,,
1874017,,
873632,0000,
874506,,
874765,0000,
873557,0000,
873639,,
1874095,,
873637,,
1874097,7371,Services-Computer Programming Services
873640,0000,
1874096,,
873601,8200,Services-Educational Services
874516,7389,"Services-Business Services, NEC"
874760,,
873687,,
873641,0000,
874362,,
874448,,
873633,0000,
873669,8880,American Depositary Receipts
873717,,
874507,8082,Services-Home Health Care Services
874761,4991,Cogeneration Services & Small Power Producers
873715,0000,
873634,,
1874099,,
873681,8880,American Depositary Receipts
1874108,,
873722,,
1874114,,
873642,0000,
1874198,,
873728,2870,Agricultural Chemicals
1874202,,
873737,,
1874212,,
873733,,
1874214,,
873730,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies"
1874289,,
873781,6798,Real Estate Investment Trusts
1874293,,
873753,3843,Dental Equipment & Supplies
1874290,,
873738,0000,
874511,,
874766,6331,"Fire, Marine & Casualty Insurance"
873739,1311,Crude Petroleum & Natural Gas
873780,1311,Crude Petroleum & Natural Gas
1874288,,
873800,7812,Services-Motion Picture & Video Tape Production
874449,,
874483,0000,
874711,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services"
873736,,
873759,,
873802,,
1874295,,
873731,2834,Pharmaceutical Preparations
1874294,,
873799,6221,Commodity Contracts Brokers & Dealers
1874292,,
873813,,
874601,,
874787,8093,"Services-Specialty Outpatient Facilities, NEC"
873808,,
873814,,
1874305,,
873860,6162,Mortgage Bankers & Loan Correspondents
1874315,3663,Radio & Tv Broadcasting & Communications Equipment
873920,,
1874316,6770,Blank Checks
873815,,
1874308,,
873888,,
1874304,,
873929,,
1874317,,
873843,,
1874312,,
873952,3576,Computer Communications Equipment
1874384,,
873934,,
874425,,
874630,0000,
1973880,,
873803,,
1874392,,
873979,3661,Telephone & Telegraph Apparatus
1874396,,
873998,3580,Refrigeration & Service Industry Machinery
874724,,
1874398,,
874017,6794,Patent Owners & Lessors
1874401,,
873850,,
874505,,
874792,1382,Oil & Gas Field Exploration Services
874021,,
874019,3827,Optical Instruments & Lenses
1874402,,
874038,8082,Services-Home Health Care Services
1874403,,
874016,2330,"Women's, Misses':  and Juniors Outerwear"
1874415,,
874022,,
1874413,,
873974,1381,Drilling Oil & Gas Wells
1874414,,
874068,,
1874499,,
874097,7372,Services-Prepackaged Software
874691,5812,Retail-Eating  Places
1874498,,
874118,,
1874501,,
874194,4812,Radiotelephone Communications
1874582,,
874188,5531,Retail-Auto & Home Supply Stores
1874580,,
874142,,
1874585,,
874174,,
1874587,,
874208,,
1874586,,
874015,2834,Pharmaceutical Preparations
1874591,,
874210,,
1874590,,
874211,,
1874597,,
874075,,
1874608,,
874150,,
1874610,,
874212,8093,"Services-Specialty Outpatient Facilities, NEC"
1874609,,
874209,0000,
1874615,,
874230,,
1874681,,
874215,0000,
1874708,,
874143,,
1874706,,
874213,4011,"Railroads, Line-Haul Operating"
1874703,,
874248,2834,Pharmaceutical Preparations
874716,2835,In Vitro & In Vivo Diagnostic Substances
874455,,
874634,0000,
1973888,,
874232,,
1874711,,
874243,8880,American Depositary Receipts
1874718,,
874256,6189,Asset-Backed Securities
874578,2860,Industrial Organic Chemicals
874783,6141,Personal Credit Institutions
874240,7380,Services-Miscellaneous Business Services
874235,,
1874712,,
874238,1600,Heavy Construction Other Than Bldg Const - Contractors
1874796,,
874214,5621,Retail-Women's Clothing Stores
1874888,,
874258,3561,Pumps & Pumping Equipment
1874881,,
874264,6189,Asset-Backed Securities
1874896,,
874268,3715,Truck Trailers
1972989,,
874263,3620,Electrical Industrial Apparatus
1972990,,
874282,,
1973189,,
874255,8731,Services-Commercial Physical & Biological Research
1973219,,
874315,6324,Hospital & Medical Service Plans
874534,7310,Services-Advertising
874791,,
874252,,
874294,2834,Pharmaceutical Preparations
874581,,
874779,,
874318,0000,
874304,,
1973281,,
874312,,
1973309,,
874316,3576,Computer Communications Equipment
1973308,,
874292,5000,Wholesale-Durable Goods
1973310,,
874354,,
1973311,,
874322,,
1973318,,
874320,7359,"Services-Equipment Rental & Leasing, NEC"
874619,,
874798,,
874342,,
874385,5945,"Retail-Hobby, Toy & Game Shops"
1973519,,
874265,5912,Retail-Drug Stores and Proprietary Stores
1973588,,
874353,,
1973609,,
874384,2834,Pharmaceutical Preparations
1973680,,
874389,3081,Unsupported Plastics Film & Sheet
1973689,,
874363,,
1973688,,
874392,1311,Crude Petroleum & Natural Gas
1973709,,
874388,3843,Dental Equipment & Supplies
874418,,
874631,0000,
1974091,,
874394,7359,"Services-Equipment Rental & Leasing, NEC"
874628,0000,
874801,,
874395,7359,"Services-Equipment Rental & Leasing, NEC"
874382,,
1973711,,
874441,3677,"Electronic Coils, Transformers & Other Inductors"
874587,,
1974100,,
876911,,
874864,,
876914,,
877197,,
874805,,
877198,,
874821,0000,
876883,7311,Services-Advertising Agencies
877157,6189,Asset-Backed Securities
874866,6411,"Insurance Agents, Brokers & Service"
877126,,
874914,,
877201,0000,
874841,5600,Retail-Apparel & Accessory Stores
877210,3559,"Special Industry Machinery, NEC"
874868,5045,Wholesale-Computers & Peripheral Equipment & Software
876606,,
877014,,
874872,,
874890,,
877199,,
874957,1311,Crude Petroleum & Natural Gas
876441,,
876440,0000,
877011,,
877151,,
874963,,
874971,5812,Retail-Eating  Places
877200,,
874871,,
877202,,
874835,,
877094,,
874962,,
877248,,
874979,7310,Services-Advertising
877273,3021,Rubber & Plastics Footwear
875003,5013,Wholesale-Motor Vehicle Supplies & New Parts
1874885,,
874933,,
1874810,,
875017,,
1874912,,
875025,,
1874913,,
875023,,
876585,,
876858,6141,Personal Credit Institutions
1975199,,
875090,6331,"Fire, Marine & Casualty Insurance"
1874994,,
875045,2836,"Biological Products, (No Diagnostic Substances)"
1875010,,
874964,,
876947,6022,State Commercial Banks
1875019,,
874977,6331,"Fire, Marine & Casualty Insurance"
876583,,
876660,,
875092,,
1875083,,
874993,6770,Blank Checks
875029,,
875104,,
876645,8071,Services-Medical Laboratories
877022,,
874992,1311,Crude Petroleum & Natural Gas
875105,0000,
1875097,,
875044,8711,Services-Engineering Services
1875106,,
875111,0000,
876677,,
877016,,
875043,2330,"Women's, Misses':  and Juniors Outerwear"
875115,,
1975381,,
875099,,
1875109,,
875109,,
875117,0000,
876716,6799,"Investors, NEC"
877019,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels)
875107,,
1875110,,
875130,,
875131,,
1875113,,
875119,,
1875117,,
875176,0000,
1875116,,
875173,5045,Wholesale-Computers & Peripheral Equipment & Software
1875114,,
875174,5812,Retail-Eating  Places
1875112,,
875150,,
1875180,,
875175,,
876684,,
877032,,
875177,0000,
875179,,
1875184,,
875100,,
1875187,,
875190,,
1875191,,
875189,,
876613,,
876842,6029,"Commercial Banks, NEC"
1975419,,
875192,8051,Services-Skilled Nursing Care Facilities
1875195,,
875194,5621,Retail-Women's Clothing Stores
1875197,,
875159,6331,"Fire, Marine & Casualty Insurance"
876661,,
877024,,
875197,,
876603,,
876881,,
1975698,,
875193,7359,"Services-Equipment Rental & Leasing, NEC"
1875185,,
875186,,
875221,8880,American Depositary Receipts
876726,8300,Services-Social Services
877065,0000,
875229,,
875196,3843,Dental Equipment & Supplies
1875199,,
875278,6513,Operators of  Apartment Buildings
876528,1381,Drilling Oil & Gas Wells
876620,,
876994,,
875237,,
875244,,
875270,6022,State Commercial Banks
1875213,,
875249,,
1875305,,
875222,3652,Phonograph Records & Prerecorded Audio Tapes & Disks
1875312,,
875272,7359,"Services-Equipment Rental & Leasing, NEC"
1875389,,
875246,,
1875396,,
875309,,
1875387,,
875293,0000,
876882,,
876623,,
876895,,
1975799,,
875320,2834,Pharmaceutical Preparations
1975818,,
875315,7373,Services-Computer Integrated Systems Design
875267,,
876663,,
877091,,
875307,,
875316,3844,X-Ray Apparatus & Tubes & Related Irradiation Apparatus
876621,6035,"Savings Institution, Federally Chartered"
876880,,
1975881,,
875354,5190,Wholesale-Miscellaneous Nondurable Goods
1875395,,
875347,6199,Finance Services
1875411,,
875296,2851,"Paints, Varnishes, Lacquers, Enamels & Allied Prods"
1875415,,
875356,6531,Real Estate Agents & Managers (For Others)
876968,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies"
1875403,,
875385,3572,Computer Storage Devices
1875484,,
875273,,
1976089,,
875417,8880,American Depositary Receipts
875404,5651,Retail-Family Clothing Stores
876744,,
877028,,
875459,3578,Calculating & Accounting Machines (No Electronic Computers)
875355,0100,Agricultural Production-Crops
1875497,,
875352,,
876798,,
875359,3674,Semiconductors & Related Devices
1875502,,
875357,6021,National Commercial Banks
1875695,,
875483,0000,
876997,,
1875690,,
875495,,
1875704,,
875525,2890,Miscellaneous Chemical Products
1875786,,
875523,5944,Retail-Jewelry Stores
1875810,,
875392,,
1976100,,
875527,,
875530,0000,
1875805,,
875531,0000,
1875889,,
875491,8060,Services-Hospitals
1875903,,
875559,,
1875906,,
875579,7389,"Services-Business Services, NEC"
876596,,
876594,,
876980,,
875428,5812,Retail-Eating  Places
875612,5141,"Wholesale-Groceries, General Line"
875572,,
1875984,,
875615,8051,Services-Skilled Nursing Care Facilities
1876081,,
875659,,
1876093,,
875626,0000,
876742,,
877120,,
875660,,
875570,7372,Services-Prepackaged Software
1876100,,
875620,8071,Services-Medical Laboratories
1876108,,
875610,,
1876183,4812,Radiotelephone Communications
875657,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies"
1876217,,
875623,8711,Services-Engineering Services
876740,,
877090,1000,Metal Mining
875668,,
875582,3470,"Coating, Engraving & Allied Services"
1876280,,
875706,5211,Retail-Lumber & Other Building Materials Dealers
876604,,
876884,3613,Switchgear & Switchboard Apparatus
1976108,,
875622,2834,Pharmaceutical Preparations
1876288,,
875741,8900,"Services-Services, NEC"
1876307,,
875733,,
876691,,
877042,,
875711,3661,Telephone & Telegraph Apparatus
875707,6022,State Commercial Banks
1876398,,
875742,7372,Services-Prepackaged Software
1876480,,
875738,7819,Services-Allied To Motion Picture Production
1876489,,
875747,0000,
1876492,,
875784,6794,Patent Owners & Lessors
1876514,,
875730,,
1876516,,
875734,0000,
1876503,,
875753,,
1876580,,
875751,5140,Wholesale-Groceries & Related Products
1876596,,
875827,,
1876611,,
875834,,
1876604,,
875732,,
876717,,
877116,,
875743,3630,Household Appliances
875835,,
876459,6795,Mineral Royalty Traders
876587,,
876625,8741,Services-Management Services
876889,3949,"Sporting & Athletic Goods, NEC"
1976280,,
875762,3590,Misc Industrial & Commercial Machinery & Equipment
875729,2870,Agricultural Chemicals
875904,,
875885,,
1976288,,
876001,,
875866,,
1976390,,
875942,7372,Services-Prepackaged Software
875869,,
1976418,,
875809,4813,Telephone Communications (No Radiotelephone)
875983,3661,Telephone & Telegraph Apparatus
1876684,,
875890,,
1876686,,
876070,0000,
876808,,
877103,0000,
876035,4953,Refuse Systems
876013,4833,Television Broadcasting Stations
1876693,,
876060,,
1876716,6770,Blank Checks
876043,3841,Surgical & Medical Instruments & Apparatus
1876802,,
876032,4953,Refuse Systems
1876803,,
875986,6021,National Commercial Banks
1876796,,
876068,0000,
1876797,,
876156,,
1876809,,
876158,8742,Services-Management Consulting Services
1876888,,
876160,8000,Services-Health Services
1876900,,
876103,0700,Agricultural Services
1876902,,
876134,7372,Services-Prepackaged Software
1876914,,
876180,6022,State Commercial Banks
1876917,,
876167,7372,Services-Prepackaged Software
1876991,,
876162,,
1876994,,
876255,,
1877010,,
876173,0000,
876796,,
877050,6324,Hospital & Medical Service Plans
876094,,
876208,6770,Blank Checks
1877014,,
876200,,
1877012,,
876188,3845,Electromedical & Electrotherapeutic Apparatus
1877011,,
876318,4812,Radiotelephone Communications
876837,6022,State Commercial Banks
877061,,
876297,6162,Mortgage Bankers & Loan Correspondents
876279,3661,Telephone & Telegraph Apparatus
1877094,,
876330,,
1877098,,
876349,4812,Radiotelephone Communications
876982,,
1877099,,
876235,5040,Wholesale-Professional & Commercial Equipment & Supplies
1877091,,
876320,0100,Agricultural Production-Crops
876879,,
877196,,
876331,,
876367,8000,Services-Health Services
1877096,,
876346,5045,Wholesale-Computers & Peripheral Equipment & Software
1877092,,
876377,,
877035,,
876878,0000,
877012,,
876400,3827,Optical Instruments & Lenses
876338,,
1877118,,
876428,8731,Services-Commercial Physical & Biological Research
1877119,,
876429,5045,Wholesale-Computers & Peripheral Equipment & Software
876948,7500,"Services-Automotive Repair, Services & Parking"
1877117,,
876387,,
876779,7372,Services-Prepackaged Software
877092,,
876343,2836,"Biological Products, (No Diagnostic Substances)"
876427,7500,"Services-Automotive Repair, Services & Parking"
1877183,,
876409,,
1877196,,
876412,6199,Finance Services
1877280,,
876438,,
1877281,,
876430,,
877134,,
876378,3841,Surgical & Medical Instruments & Apparatus
1877282,,
876437,6351,Surety Insurance
1975011,,
876516,3576,Computer Communications Equipment
1975101,,
876453,,
1975118,,
876439,8880,American Depositary Receipts
1975188,6500,Real Estate
876500,0000,
1975181,,
876490,7389,"Services-Business Services, NEC"
877018,,
876573,3577,"Computer Peripheral Equipment, NEC"
876523,5900,Retail-Miscellaneous Retail
878561,,
878657,6500,Real Estate
878734,,
879018,,
877233,,
877212,3560,General Industrial Machinery & Equipment
878658,4833,Television Broadcasting Stations
878862,,
877243,,
878760,8741,Services-Management Services
877232,0000,
879016,,
877294,,
878577,,
878556,7374,Services-Computer Processing & Data Preparation
878825,6162,Mortgage Bankers & Loan Correspondents
877297,,
877291,,
877250,,
878640,6189,Asset-Backed Securities
878939,,
877295,,
877321,0000,
879045,7359,"Services-Equipment Rental & Leasing, NEC"
877318,,
879082,,
877337,6022,State Commercial Banks
879064,,
877338,,
879090,,
877326,4011,"Railroads, Line-Haul Operating"
879100,,
877296,,
879102,8051,Services-Skilled Nursing Care Facilities
877292,,
879091,,
877334,,
879096,6035,"Savings Institution, Federally Chartered"
877323,0000,
879101,6798,Real Estate Investment Trusts
877356,4955,Hazardous Waste Management
879089,,
877370,0000,
878720,5961,Retail-Catalog & Mail-Order Houses
877346,,
877358,,
879117,0000,
877388,,
878659,1381,Drilling Oil & Gas Wells
878932,,
877374,,
877365,2400,Lumber & Wood Products (No Furniture)
1877212,,
877389,0000,
1877211,,
877373,,
878671,6035,"Savings Institution, Federally Chartered"
878929,,
877398,,
877402,8093,"Services-Specialty Outpatient Facilities, NEC"
1877214,,
877396,0000,
878802,3669,"Communications Equipment, NEC"
1877217,,
877355,6361,Title Insurance
1877216,,
877357,2834,Pharmaceutical Preparations
1877215,,
877412,6035,"Savings Institution, Federally Chartered"
1877316,,
877415,,
1877398,,
877449,,
1877414,,
877406,5812,Retail-Eating  Places
1877482,,
877444,0000,
1977711,,
877443,0000,
877463,,
1977788,,
877422,5141,"Wholesale-Groceries, General Line"
877423,0000,
1877486,,
877467,,
1877495,,
877461,,
878773,0000,
1877492,,
877478,,
1877501,,
877530,,
1877518,,
877542,3580,Refrigeration & Service Industry Machinery
878722,1000,Metal Mining
878927,4213,Trucking (No Local)
877559,,
877557,,
1877594,,
877539,6331,"Fire, Marine & Casualty Insurance"
1877611,,
877494,,
1877603,,
877538,,
1877618,,
877581,0000,
1877683,,
877476,8090,"Services-Misc Health & Allied Services, NEC"
1877691,,
877514,,
1877680,,
877600,6035,"Savings Institution, Federally Chartered"
1877693,,
877533,,
878662,,
878972,0000,
877599,0000,
877611,,
1877694,,
877598,0000,
1877692,,
877612,,
878721,6189,Asset-Backed Securities
878947,0000,
877665,6153,Short-Term Business Credit Institutions
877613,,
878552,3990,Miscellaneous Manufacturing Industries
878653,0000,
878901,5812,Retail-Eating  Places
877614,0000,
877603,,
877625,,
1877717,,
877651,8071,Services-Medical Laboratories
1877718,,
877628,,
1877719,,
877649,,
1877781,,
877654,1000,Metal Mining
1877783,,
877671,,
1877780,,
877700,,
878663,,
878895,,
877683,,
877691,4813,Telephone Communications (No Radiotelephone)
1877800,,
877722,,
1877807,,
877635,,
1877814,,
877645,7373,Services-Computer Integrated Systems Design
1877811,,
877698,,
1877880,,
877670,,
1877890,,
877799,2834,Pharmaceutical Preparations
878719,,
878945,4813,Telephone Communications (No Radiotelephone)
877798,,
877797,,
1877888,,
877756,,
878727,,
878951,0000,
877703,,
1877893,,
877800,6189,Asset-Backed Securities
877723,0000,
878725,2836,"Biological Products, (No Diagnostic Substances)"
878930,,
877810,,
877701,,
1877904,,
877673,0000,
1877907,,
877741,,
1977808,,
877808,,
877813,,
1877982,,
877829,6189,Asset-Backed Securities
1877988,,
877867,6035,"Savings Institution, Federally Chartered"
878838,5090,Wholesale-Misc Durable Goods
1877990,,
877866,8880,American Depositary Receipts
1878008,,
877831,1090,Miscellaneous Metal Ores
1878007,,
877887,,
1878000,,
877834,6035,"Savings Institution, Federally Chartered"
1878009,,
877891,,
1878012,,
877928,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes)
1878013,,
877908,3661,Telephone & Telegraph Apparatus
1878092,,
877860,6798,Real Estate Investment Trusts
1878084,,
877910,1000,Metal Mining
1878100,,
877930,1311,Crude Petroleum & Natural Gas
1878112,,
877880,,
1878101,,
877890,7372,Services-Prepackaged Software
878865,7200,Services-Personal Services
1878118,,
877902,2833,Medicinal Chemicals & Botanical Products
1878117,,
877931,7372,Services-Prepackaged Software
1977819,,
877979,,
877941,,
1878200,,
877937,3577,"Computer Peripheral Equipment, NEC"
1878280,,
878004,4911,Electric Services
1878281,,
877985,0000,
1878284,,
877943,,
1878291,,
878012,,
1878285,,
877929,2836,"Biological Products, (No Diagnostic Substances)"
878808,1040,Gold and Silver Ores
878767,,
878944,0700,Agricultural Services
877987,6035,"Savings Institution, Federally Chartered"
877894,,
1878288,,
878032,6189,Asset-Backed Securities
